,movieId,title,genres,year,ratingMean
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,3.888072426112374
1,2,Jumanji (1995),Adventure|Children|Fantasy,1995,3.251097243176519
2,3,Grumpier Old Men (1995),Comedy|Romance,1995,3.1891350459580488
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,2.9028887523048557
4,5,Father of the Bride Part II (1995),Comedy,1995,3.0789127837514934
5,6,Heat (1995),Action|Crime|Thriller,1995,3.8510679611650485
6,7,Sabrina (1995),Comedy|Romance,1995,3.3738841978287093
7,8,Tom and Huck (1995),Adventure|Children,1995,3.120584652862363
8,9,Sudden Death (1995),Action,1995,3.004091653027823
9,10,GoldenEye (1995),Action|Adventure|Thriller,1995,3.432059567294184
10,11,"American President, The (1995)",Comedy|Drama|Romance,1995,3.6614936042136943
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,2.6671446128635803
12,13,Balto (1995),Adventure|Animation|Children,1995,3.336676217765043
13,14,Nixon (1995),Drama,1995,3.4252611840342886
14,15,Cutthroat Island (1995),Action|Adventure|Romance,1995,2.7547225501770956
15,16,Casino (1995),Crime|Drama,1995,3.7959397969898494
16,17,Sense and Sensibility (1995),Drama|Romance,1995,3.95420046134385
17,18,Four Rooms (1995),Comedy,1995,3.410017730496454
18,19,Ace Ventura: When Nature Calls (1995),Comedy,1995,2.6438269302499067
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,2.903091557669441
20,21,Get Shorty (1995),Comedy|Crime|Thriller,1995,3.573552593866437
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,3.317314022383147
22,23,Assassins (1995),Action|Crime|Thriller,1995,3.1862068965517243
23,24,Powder (1995),Drama|Sci-Fi,1995,3.199371579160754
24,25,Leaving Las Vegas (1995),Drama|Romance,1995,3.672997492255495
25,26,Othello (1995),Drama,1995,3.601079784043191
26,27,Now and Then (1995),Children|Drama,1995,3.4136363636363636
27,28,Persuasion (1995),Drama|Romance,1995,4.016657564172584
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,3.900354213273676
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,3.633190883190883
30,31,Dangerous Minds (1995),Drama,1995,3.2458645443196006
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,3.894771573604061
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,1995,3.0568181818181817
33,34,Babe (1995),Children|Drama,1995,3.614069911321922
34,35,Carrington (1995),Drama|Romance,1995,3.4705188679245285
35,36,Dead Man Walking (1995),Crime|Drama,1995,3.9350230414746545
36,37,Across the Sea of Time (1995),Documentary|IMAX,1995,2.9583333333333335
37,38,It Takes Two (1995),Children|Comedy,1995,2.8826666666666667
38,39,Clueless (1995),Comedy|Romance,1995,3.4236888441705444
39,40,"Cry, the Beloved Country (1995)",Drama,1995,3.658252427184466
40,41,Richard III (1995),Drama|War,1995,3.849855803893295
41,42,Dead Presidents (1995),Action|Crime|Drama,1995,3.0534965034965036
42,43,Restoration (1995),Drama,1995,3.4517906336088156
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,2.6354893859524147
44,45,To Die For (1995),Comedy|Drama|Thriller,1995,3.3692755255255253
45,46,How to Make an American Quilt (1995),Drama|Romance,1995,3.2447339246119733
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,4.074101345471584
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,2.980038671519563
48,49,When Night Is Falling (1995),Drama|Romance,1995,3.5145985401459856
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,4.290625743516536
50,51,Guardian Angel (1994),Action|Drama|Thriller,1994,2.625
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,3.52352422907489
52,53,Lamerica (1994),Adventure|Drama,1994,3.5268817204301075
53,54,"Big Green, The (1995)",Children|Comedy,1995,2.8145025295109614
54,55,Georgia (1995),Drama,1995,3.28021978021978
55,56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1995,2.1666666666666665
56,57,Home for the Holidays (1995),Drama,1995,3.3201692524682653
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,3.954526833265055
58,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995,3.730769230769231
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,3.0622396471453075
60,61,Eye for an Eye (1996),Drama|Thriller,1996,3.3354430379746836
61,62,Mr. Holland's Opus (1995),Drama,1995,3.7410518053375195
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,3.1455321944809462
